Cate_name,SMILES
Catechol,OC1=CC=CC=C1O
4Me-Catechol,OC1=CC=C(C)C=C1O
4Cl-Catechol,OC1=CC=C(Cl)C=C1O
4NO2-Catechol,OC1=CC=C([N+]([O-])=O)C=C1O
4OH-Catechol,OC1=CC=C(O)C=C1O
4CN-Catechol,OC1=CC=C(C#N)C=C1O
Dihydroxynaphthalene,OC1=CC2=CC=CC=C2C=C1O
4Br-Catechol,OC1=CC=C(Br)C=C1O
4tBu-Catechol,OC1=CC=C(C(C)(C)C)C=C1O
4F-Catechol,OC1=CC=C(F)C=C1O
4Ph-Catechol,OC1=CC=C(C2=CC=CC=C2)C=C1O
4OCOEt-Catechol,OC1=CC(C(OCC)=O)=CC=C1O
4Bz-Catechol,OC1=CC(C(C2=CC=CC=C2)=O)=CC=C1O
4CH2OH-Catechol,OC1=CC=C(CO)C=C1O
4OMe-Catechol,OC1=CC=C(OC)C=C1O
3F-Catechol,OC1=CC=CC(F)=C1O
3OMe-Catechol,OC1=CC=CC(OC)=C1O
