,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.9996275165720758,0.27461926681113197,0.33481787483844216,0.803648847108649,256.817512686278,11.016054673382717,0.7095534647149335
1,0.9988252011263109,1.0623819493249669,0.6211659380343916,0.8555213869500844,139.9778257798936,8.058842853173037,0.7948716592360008
2,0.9998902476029158,0.10153184814258069,0.18355665137942767,0.8800508379244681,115.99818355328883,7.588457418831868,0.7059326545556419
3,0.999199670769198,0.7464756601705657,0.5838959000284749,0.873114260702831,121.77808477561946,8.761261579229922,0.6094547929579092
4,0.9980417737568268,1.68818072755288,0.8264855267293886,0.8423728777833199,167.6087435659386,9.685448555994816,0.8255679966590833
5,0.9973011777188958,2.185339882335163,0.7784476818310543,0.907516740265156,112.47851797220996,6.894010691724556,0.604140772713259
6,0.9991627345817895,0.6871216315891453,0.4523837430215876,0.808017967892764,231.04275730645102,10.512624463475358,0.7668820510350982
7,0.9993713906899009,0.6012635245567006,0.4523992293376831,0.7733691809236043,205.4426361500469,9.53537329854445,0.7731477685248084
8,0.9976679638359957,2.052464194323972,0.8242585231290275,0.7838053812149317,213.6512680316511,11.06064242470307,0.6975250079993413
9,0.9985172193181081,1.5027139798228204,0.866012351347641,0.8985780207219447,71.46776813735329,6.361795591639061,0.644820854424766
mean,0.9987604895972018,1.0902092664629928,0.5923423419677118,0.8425995501487753,163.6263297958731,8.947451155069885,0.7131897022820841
