,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test
0,0.9009378886880931,8.546057565959117,5.966771141237012,0.7113880178875882,19.429103806567507,13.293158740193157
1,0.8480582543381763,11.721876372016492,8.81661347096541,0.7915725827119606,14.21036598785082,11.37109226499736
2,0.8707704212422329,10.933900134726048,8.115145519380256,0.7677675299066515,14.986094117373062,9.94065276932575
3,0.8609531087474476,11.38817488812973,8.413285687432632,0.807313492219583,13.598901103150064,10.5428325653191
4,0.8697546702819108,10.596418825129701,8.103234920317897,0.7822657673405246,15.21585004135164,11.308306577993303
5,0.8677572140854396,10.348045919829394,7.185161337798281,0.7510973606354044,17.398747251579966,12.068795790112059
6,0.8840928670792536,9.753046957911497,7.139355694093029,0.7636102456702857,16.866703554340557,12.345163705503964
7,0.8712901401823021,11.095526968922501,7.975826565921379,0.7449760105679677,15.204646343143049,11.332918430761042
8,0.8709226108290891,10.658479162385822,7.5862027943355095,0.7770209823156983,14.844387966266597,10.966876411729666
9,0.851133247991255,12.282833369727353,9.444492264655512,0.7172775673995503,14.114620426941858,11.439348882037516
mean,0.86956704234652,10.732436016473766,7.874608939613691,0.7614289556655215,15.586942059856511,11.460914613797291
std,0.013755420775190574,0.94850696861189,0.8791219805399395,0.027907526370607012,1.6207152762908554,0.8503947938032427
