Cate_name,Cate_HOMO,Cate_LUMO,Cate_ESP_O1,Cate_ESP_H1,Cate_ESP_O2,Cate_ESP_H2,Cate_BL_ArO1,Cate_BL_O1H1,Cate_BL_ArO2,Cate_BL_O2H2,Cate_total_dipole,P_name,P_HOMO,P_LUMO,P_ESP_P,P_ESP_=O,P_ESP_H,P_BL_P=O,P_BL_PH,P_total_dipole,Yield
Catechol,-5.63,0.21,-0.55517,0.441278,-0.594799,0.44477,1.363,0.969,1.378,0.965,2.484773,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,80
Catechol,-5.63,0.21,-0.55517,0.441278,-0.594799,0.44477,1.363,0.969,1.378,0.965,2.484773,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,7
Catechol,-5.63,0.21,-0.55517,0.441278,-0.594799,0.44477,1.363,0.969,1.378,0.965,2.484773,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3
Catechol,-5.63,0.21,-0.55517,0.441278,-0.594799,0.44477,1.363,0.969,1.378,0.965,2.484773,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,48
4Me-Catechol,-5.51,0.22,-0.542028,0.433177,-0.582447,0.440296,1.364,0.969,1.379,0.965,2.303134,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,99
4Me-Catechol,-5.51,0.22,-0.542028,0.433177,-0.582447,0.440296,1.364,0.969,1.379,0.965,2.303134,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,9
4Me-Catechol,-5.51,0.22,-0.542028,0.433177,-0.582447,0.440296,1.364,0.969,1.379,0.965,2.303134,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3
4Me-Catechol,-5.51,0.22,-0.542028,0.433177,-0.582447,0.440296,1.364,0.969,1.379,0.965,2.303134,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,54
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,47
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,7
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,64
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,34
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,7
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,5
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,74
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,34
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,5
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,65
4CN-Catechol,-6.3,-1.1,-0.532689,0.443858,-0.585877,0.451582,1.355,0.97,1.373,0.965,4.507833,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,33
