,r2_train,MSE_train,MAE_train,r2_test,MSE_test,MAE_test,cv_score
0,0.99995487083129,0.03327218956294571,0.15215880867897955,0.6676656065648148,434.67680757318715,13.994926753777333,0.8020897244318013
1,0.9998705152422951,0.11709431493279623,0.24142083451281537,0.790157015201804,203.30597136246442,9.678798270665308,0.7367779673926979
2,0.9999958011911215,0.003884314482041473,0.05232577371162943,0.7964982291983089,196.79867165732512,9.471671304047613,0.6776299440333519
3,0.9989965555920035,0.9359233651293662,0.8094416196358682,0.811062576369151,181.33194257802617,8.684084878036293,0.665170434214214
4,0.9999793843068548,0.017772724665531574,0.09344428972425832,0.7917176332949135,221.47169408061086,10.344782803933304,0.7342511970406049
5,0.999668641430521,0.26831373903570516,0.33989620801901643,0.8483447462265488,184.44373864030717,8.554221014806618,0.7378106189708372
6,0.9993842438056353,0.5053348576575839,0.5284295266522008,0.811095831734097,227.33867031086075,10.134876911551757,0.761166026775458
7,0.9999964944405466,0.0033530604759332786,0.046215688185586704,0.6257843854344178,339.229424568895,12.684541972177911,0.7745726123784538
8,0.9999963736642932,0.003191598959598598,0.047023813740091944,0.7235263099033133,273.22120596012974,12.329239257803485,0.7037732953541825
9,0.9998443520806019,0.15774032347891961,0.3427779773474157,0.8779703334313396,85.98913153033448,6.062130600858053,0.5941564424611963
mean,0.9997687232585164,0.20458804883804219,0.26531345402078627,0.774382266735871,234.78072582621408,10.193927376765767,0.7187398263052798
